timestamp,master_and_slave,master_xor_slave,neither,1st Res Pair,2nd Res Pair,3rd Res Pair
2019-12-15T18:6:00.000Z,0,1,0,3,0,7
2019-12-15T18:7:00.000Z,0,1,0,3,7,0
2019-12-15T18:8:00.000Z,0,1,0,0,3,7
2019-12-15T18:9:00.000Z,0,0,1,3,4,8
2019-12-15T18:10:00.000Z,0,1,0,3,0,7
2019-12-15T18:11:00.000Z,0,0,1,3,7,8
2019-12-15T18:12:00.000Z,0,1,0,3,8,0
2019-12-15T18:13:00.000Z,0,1,0,3,8,0
2019-12-15T18:14:00.000Z,0,1,0,3,0,8
2019-12-15T18:15:00.000Z,0,0,1,3,7,4
2019-12-15T18:16:00.000Z,0,0,1,3,8,7
2019-12-15T18:17:00.000Z,0,1,0,3,0,8
2019-12-15T18:18:00.000Z,0,1,0,3,7,0
2019-12-15T18:19:00.000Z,0,1,0,3,0,7
2019-12-15T18:20:00.000Z,0,1,0,3,0,8
2019-12-15T18:21:00.000Z,0,1,0,3,4,0
2019-12-15T18:22:00.000Z,0,1,0,3,7,0
2019-12-15T18:23:00.000Z,0,1,0,3,8,0
2019-12-15T18:24:00.000Z,0,0,1,3,8,4
2019-12-15T18:25:00.000Z,0,1,0,3,8,0
2019-12-15T18:26:00.000Z,0,1,0,3,0,8
2019-12-15T18:27:00.000Z,0,1,0,3,0,8
2019-12-15T18:28:00.000Z,0,1,0,3,7,0
2019-12-15T18:29:00.000Z,0,0,1,3,7,8
2019-12-15T18:30:00.000Z,0,1,0,3,7,0
2019-12-15T18:31:00.000Z,0,0,1,3,7,8
2019-12-15T18:32:00.000Z,0,1,0,3,7,0
2019-12-15T18:33:00.000Z,0,0,1,3,7,8
2019-12-15T18:34:00.000Z,0,0,1,3,7,8
2019-12-15T18:35:00.000Z,0,1,0,3,0,7
2019-12-15T18:36:00.000Z,0,1,0,3,7,0
2019-12-15T18:37:00.000Z,0,1,0,3,0,8
2019-12-15T18:38:00.000Z,0,1,0,3,0,7
2019-12-15T18:39:00.000Z,0,1,0,3,0,8
2019-12-15T18:40:00.000Z,0,1,0,3,0,8
2019-12-15T18:41:00.000Z,0,1,0,3,8,0
2019-12-15T18:42:00.000Z,0,1,0,3,0,4
2019-12-15T18:43:00.000Z,0,1,0,3,7,0
2019-12-15T18:44:00.000Z,0,1,0,3,0,5
2019-12-15T18:45:00.000Z,0,0,1,3,8,7
2019-12-15T18:46:00.000Z,0,1,0,3,4,0
2019-12-15T18:47:00.000Z,0,0,1,3,8,7
2019-12-15T18:48:00.000Z,0,1,0,3,0,8
2019-12-15T18:49:00.000Z,0,1,0,3,8,0
2019-12-15T18:50:00.000Z,0,1,0,3,7,0
2019-12-15T18:51:00.000Z,0,1,0,3,0,7
2019-12-15T18:52:00.000Z,0,0,1,3,4,8
2019-12-15T18:53:00.000Z,0,1,0,3,0,1
2019-12-15T18:54:00.000Z,0,1,0,3,2,0
2019-12-15T18:55:00.000Z,0,1,0,3,8,0
2019-12-15T18:56:00.000Z,0,1,0,3,7,0
2019-12-15T18:57:00.000Z,0,1,0,3,7,0
2019-12-15T18:58:00.000Z,0,1,0,3,0,1
2019-12-15T18:59:00.000Z,0,1,0,3,0,1
2019-12-15T19:0:00.000Z,0,1,0,3,4,0
2019-12-15T19:1:00.000Z,0,0,1,3,7,8
2019-12-15T19:2:00.000Z,0,1,0,3,8,0
2019-12-15T19:3:00.000Z,0,1,0,3,0,8
2019-12-15T19:4:00.000Z,0,1,0,3,0,7
2019-12-15T19:5:00.000Z,0,1,0,3,1,0
2019-12-15T19:6:00.000Z,0,0,1,3,1,4
2019-12-15T19:7:00.000Z,0,0,1,3,4,8
2019-12-15T19:8:00.000Z,0,1,0,3,0,2
2019-12-15T19:9:00.000Z,0,0,1,3,8,7
2019-12-15T19:10:00.000Z,0,0,1,3,1,8
2019-12-15T19:11:00.000Z,0,0,1,3,7,1
2019-12-15T19:12:00.000Z,0,1,0,3,0,2
2019-12-15T19:13:00.000Z,0,1,0,3,0,2
2019-12-15T19:14:00.000Z,0,1,0,3,1,0
2019-12-15T19:15:00.000Z,0,1,0,3,0,1
2019-12-15T19:16:00.000Z,0,1,0,3,0,7
2019-12-15T19:17:00.000Z,0,1,0,3,1,0
2019-12-15T19:18:00.000Z,0,0,1,3,1,8
2019-12-15T19:19:00.000Z,0,1,0,3,4,0
2019-12-15T19:20:00.000Z,0,1,0,3,0,2
2019-12-15T19:21:00.000Z,0,1,0,3,0,8
2019-12-15T19:22:00.000Z,0,1,0,3,0,7
2019-12-15T19:23:00.000Z,0,1,0,3,0,4
2019-12-15T19:24:00.000Z,0,1,0,3,1,0
2019-12-15T19:25:00.000Z,0,1,0,3,0,2
2019-12-15T19:26:00.000Z,0,1,0,3,0,5
2019-12-15T19:27:00.000Z,0,1,0,3,0,9
2019-12-15T19:28:00.000Z,0,0,1,3,1,2
2019-12-15T19:29:00.000Z,0,0,1,3,1,2
2019-12-15T19:30:00.000Z,0,1,0,3,1,0
2019-12-15T19:31:00.000Z,0,1,0,3,2,0
2019-12-15T19:32:00.000Z,0,1,0,3,2,0
2019-12-15T19:33:00.000Z,0,1,0,3,0,9
2019-12-15T19:34:00.000Z,0,0,1,3,1,9
2019-12-15T19:35:00.000Z,0,0,1,3,1,9
2019-12-15T19:36:00.000Z,0,1,0,3,1,0
2019-12-15T19:37:00.000Z,0,1,0,3,1,0
2019-12-15T19:38:00.000Z,0,1,0,0,2,1
2019-12-15T19:39:00.000Z,0,1,0,3,1,0
2019-12-15T19:40:00.000Z,0,0,1,3,1,2
2019-12-15T19:41:00.000Z,0,1,0,3,1,0
2019-12-15T19:42:00.000Z,0,0,1,3,1,9
2019-12-15T19:43:00.000Z,0,0,1,3,1,2
2019-12-15T19:44:00.000Z,0,1,0,1,3,0
2019-12-15T19:45:00.000Z,0,0,1,1,3,2
2019-12-15T19:46:00.000Z,0,1,0,1,3,0
2019-12-15T19:47:00.000Z,0,0,1,1,9,6
2019-12-15T19:48:00.000Z,0,0,1,1,6,3
2019-12-15T19:49:00.000Z,0,0,1,1,7,2
2019-12-15T19:50:00.000Z,0,0,1,1,3,7
2019-12-15T19:51:00.000Z,0,0,1,1,2,9
2019-12-15T19:52:00.000Z,0,0,1,1,7,3
2019-12-15T19:53:00.000Z,0,0,1,1,3,9
2019-12-15T19:54:00.000Z,0,0,1,1,3,2
2019-12-15T19:55:00.000Z,0,0,1,3,1,9
2019-12-15T19:56:00.000Z,0,1,0,1,3,0
2019-12-15T19:57:00.000Z,0,1,0,3,9,0
2019-12-15T19:58:00.000Z,0,1,0,1,9,0
2019-12-15T19:59:00.000Z,0,1,0,1,9,0
2019-12-15T20:0:00.000Z,0,0,1,1,1,9
