id:0, resource: 6, group: x, metric: redis-8_system.network.in.bytes
id:1, resource: 6, group: x, metric: redis-8_system.network.in.dropped
id:2, resource: 6, group: x, metric: redis-8_system.network.in.errors
id:3, resource: 6, group: x, metric: redis-8_system.network.in.packets
id:4, resource: 6, group: x, metric: redis-8_system.network.name
id:5, resource: 6, group: x, metric: redis-8_system.network.out.bytes
id:6, resource: 6, group: x, metric: redis-8_system.network.out.dropped
id:7, resource: 6, group: x, metric: redis-8_system.network.out.errors
id:8, resource: 6, group: x, metric: redis-8_system.network.out.packets
id:9, resource: 7, group: x, metric: redis-17_system.network.in.bytes
id:10, resource: 7, group: x, metric: redis-17_system.network.in.dropped
id:11, resource: 7, group: x, metric: redis-17_system.network.in.errors
id:12, resource: 7, group: x, metric: redis-17_system.network.in.packets
id:13, resource: 7, group: x, metric: redis-17_system.network.name
id:14, resource: 7, group: x, metric: redis-17_system.network.out.bytes
id:15, resource: 7, group: x, metric: redis-17_system.network.out.dropped
id:16, resource: 7, group: x, metric: redis-17_system.network.out.errors
id:17, resource: 7, group: x, metric: redis-17_system.network.out.packets
id:18, resource: 6, group: x, metric: redis-19_system.network.in.bytes
id:19, resource: 6, group: x, metric: redis-19_system.network.in.dropped
id:20, resource: 6, group: x, metric: redis-19_system.network.in.errors
id:21, resource: 6, group: x, metric: redis-19_system.network.in.packets
id:22, resource: 6, group: x, metric: redis-19_system.network.name
id:23, resource: 6, group: x, metric: redis-19_system.network.out.bytes
id:24, resource: 6, group: x, metric: redis-19_system.network.out.dropped
id:25, resource: 6, group: x, metric: redis-19_system.network.out.errors
id:26, resource: 6, group: x, metric: redis-19_system.network.out.packets
id:27, resource: 8, group: x, metric: redis-11_system.network.in.bytes
id:28, resource: 8, group: x, metric: redis-11_system.network.in.dropped
id:29, resource: 8, group: x, metric: redis-11_system.network.in.errors
id:30, resource: 8, group: x, metric: redis-11_system.network.in.packets
id:31, resource: 8, group: x, metric: redis-11_system.network.name
id:32, resource: 8, group: x, metric: redis-11_system.network.out.bytes
id:33, resource: 8, group: x, metric: redis-11_system.network.out.dropped
id:34, resource: 8, group: x, metric: redis-11_system.network.out.errors
id:35, resource: 8, group: x, metric: redis-11_system.network.out.packets
id:36, resource: 3, group: x, metric: redis-7_system.network.in.bytes
id:37, resource: 3, group: x, metric: redis-7_system.network.in.dropped
id:38, resource: 3, group: x, metric: redis-7_system.network.in.errors
id:39, resource: 3, group: x, metric: redis-7_system.network.in.packets
id:40, resource: 3, group: x, metric: redis-7_system.network.name
id:41, resource: 3, group: x, metric: redis-7_system.network.out.bytes
id:42, resource: 3, group: x, metric: redis-7_system.network.out.dropped
id:43, resource: 3, group: x, metric: redis-7_system.network.out.errors
id:44, resource: 3, group: x, metric: redis-7_system.network.out.packets
id:45, resource: 5, group: x, metric: redis-9_system.network.in.bytes
id:46, resource: 5, group: x, metric: redis-9_system.network.in.dropped
