"Actual state (0 - normal, 1 - faulty)",Actual classification,Actual classification MA,Actual faulty pair,Localised fault pair,FP,TP,Prediction type (0 - 9),First_TP_minute,Time to failure,T-TPR,FPR,Localisation Rate
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,9,1,0,1,,,,,
0,1,1,0,0,1,0,1,,,,,
0,1,1,0,0,1,0,1,,,,,
0,1,1,0,0,1,0,1,,,,,
1,1,0,0,0,0,0,2,,,,,
1,1,1,0,0,0,1,9,,,,,
1,1,1,0,0,0,1,9,,,,,
1,1,1,0,0,0,1,9,,,,,
1,1,1,0,0,0,1,9,,,,,
1,1,1,0,0,0,1,9,,,,,
1,1,1,0,0,0,1,9,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,6,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
1,1,1,0,7,1,0,7,,,,,
1,1,1,0,9,1,0,7,,,,,
,,,,,,,,44,96,6,90,"[0.0, 0.16, 0.01, 0.0, 0.0, 0.0, 0.0, 0.78, 0.0, 0.05]"
